Example	Website or web page giving email address	Xtal,Rxn,QM,MD,Cheminf,Viewer,Draw,Dock	New Category	Open Source/Freeware/Free for Academics/Shareware/Commercial	OS License Type	Description that contains full sentences.	Comments
Ghemical	http://bioinformatics.org/ghemical	QM, Viewer		Open Source	GPL, C++	Ghemical is a computational chemistry software package with GUIs for both GLUT and GTK+, and some nice 3D-visualization tools. It can do &quot;all atoms&quot; molecular mechanics and dynamics, as well as quantum mechanics (ab initio and semi-empirical) models. It hopefully offers a good framework for a generic freeware molecular modeling tool.	
Ghemical-GMS	http://www.uiowa.edu/~ghemical/ghemical-gms.shtml	QM, Viewer		Open Source	GPL, C++	Ghemical-GMS is a specialized version of Ghemical developed for GAMESS. Ghemical-GMS contains an extra set of menus for creating GAMESS input files, and allows for the submission and queuing of GAMESS jobs using the GTK-Gamess program.	
Gibbs	http://fulcrum.physbio.mssm.edu/~mezei/gibbs/	Thermo		Free for academics		Gibbs perfoms Gibbs-ensemble simulations with cavity-biased insertion to determine the densities of coexisting liquid and vapor phases in equilibrium with each other.	
Gnome Chemistry Utils	http://www.nongnu.org/gchemutils/	Viewer	UItilities	Open Source	LGPL, C++	The Gnome Chemistry Utils provide C++ classes and Gtk+-2 widgets related to chemistry. They are used both both in <a href=http://www.nongnu.org/gcrystal/>Gnome Crystal</a> and <a href=http://www.nongnu.org/gchempaint/>GChemPaint</a>.	
Gnome Crystal	http://www.nongnu.org/gcrystal/	Xtal, Viewer		Open Source	GPL, C++	Gnome Crystal is a lightweight model visualiser for crystal structures.	
Gnu Xtal System	http://xtal.sourceforge.net	Xtal		Open Source	GPL, Fortran	The Gnu Xtal System is a package of over sixty crystallographic programs for calculations ranging from the reduction of raw diffraction intensities, to the solution, refinement and publication of crystal structures. These are applicable to X-ray, neutron and electron diffraction analyses, including charge density studies. The package contains interactive graphics tools.	
GOLD	http://www.ccdc.cam.ac.uk/products/life_sciences/gold/	Dock		Commercial		GOLD is a program for calculating the docking modes of small molecules into protein binding sites as part of a virtual screening application. Docking is performed using a genetic algorithm and incorporates full ligand flexibility and partial protein flexibility. The GoldScore and ChemScore scoring functions are available, or a custom scoring function can be implemented. Cavity-bound waters and constraints can be included as part of the docking procedure.	
gOpenMol	http://www.csc.fi/gopenmol/	QM, Viewer, MD		Freeware		gOpenMol is a graphics interface to the OpenMol set of programs, but can also be used for the analysis and display of molecular dynamics trajectories and the display of molecular orbitals, electron densities and electrostatic potentials from many programs.	
GPeriodic	http://www.frantz.fi/software/gperiodic.php		Periodic table	Open Source	GPL, C	GPeriodic is a periodic table application for Linux. It allows you to browse through a periodic table of the elements and view detailed information on each of the elements on each of the elements. 118 elements are currently listed.	
GRAMM	http://www.bioinformatics.ku.edu/research/vakser/resources/gramm	Dock		Freeware		GRAMM (Global Range Molecular Matching) is a program for protein-protein and protein-ligand docking. To predict the structure of a complex, it requires only the atomic coordinates of the two molecules. The program performs an exhaustive 6-dimensional search through the relative translations and rotations of the molecules.	
GRID	http://www.moldiscovery.com/soft_grid.php	Cheminf, Dock		Free for academics		GRID is a computational procedure for determining energetically favourable binding sites on molecules of known structure. It may be used to study individual molecules such as drugs, molecular arrays such as membranes or crystals, and macromolecules such as proteins, nucleic acids, glycoproteins or polysaccharides.	Structural biology?
GRINSP	http://www.cristal.org/grinsp/	Xtal		Open Source	GPL, Fortran	GRINSP is a Monte Carlo code (FORTRAN) for the prediction of inorganic structures built up from defined polyhedra.	
GROMACS	http://www.gromacs.org	MD		Open Source	GPL, (C, assembly, Fortran)	GROMACS is a versatile package for performing molecular dynamics. Some features of the software: standard MD simulations, energy minimizations, NMR refinement using NOE data, high performance due to well optimized code and smart algorithms, automatic topology generation from a building block library, flexible force field usage, non-equilibrium MD, many analysis and preprocessing tools.	
GROMOS	http://www.igc.ethz.ch/gromos/	MD		Commercial		GROMOS is a general-purpose MD computer simulation package for the study of biomolecular systems (simulation of arbitrary molecules in solution or crystalline state, energy minimisation and analysis of conformations).	
GTK-Gamess	http://www.uiowa.edu/~ghemical/gtk-gamess.shtml	QM, Viewer		Open Source	GPL, C++	GTK-Gamess is a frontend to GAMESS that allows users to queue up GAMESS calculations and run them sequentially.	
GULP	http://gulp.curtin.edu.au/	Xtal	Solids	Free for academics		GULP performs a variety of types of simulation on 3D periodic solids, gas phase clusters and isolated defects in a bulk material. In particular GULP is designed to handle both molecular solids and ionic materials through the use of the shell model. One difference between GULP and other similar programs is that symmetry is used for solids to accelerate the calculations and to simplify the input.	
HKL Package	http://www.hkl-xray.com/	Xtal		Commercial		The HKL Package is a suite of programs for the analysis of X-ray diffraction data collected from single crystals. It consists of three parts: XdisplayF for visualization of the diffraction pattern, Denzo for data reduction and integration, and Scalepack for merging and scaling of the intensities obtained by Denzo or other programs.	
HONDOPLUS	http://t1.chem.umn.edu/hondoplus/	MD		Freeware		HONDOPLUS is a version of HONDO 99.6 with additional modules for evaluating L&ouml;wdin and CM2 partial atomic charges and for carrying out SM5.42R continuum solvation calculations by Hartree-Fock and hybrid DFT-Hartree-Fock methods.	
ICM Browser	http://www.molsoft.com/	Viewer		Freeware		ICM Browser is a program for molecular modeling and high-performance molecular visualization and animation. A commercial version, ICM Browser Pro, has additional capabilities relating to creating, storing and sharing structural, biological and chemical information.	
Indigo	http://opensource.scitouch.net/indigo	Cheminf		Open Source	GPL, C++	Indigo is a cheminformatics toolkit that includes a rendering library (Dingo), generation of canonical SMILES (Cano), an Oracle cartidge for searching molecular databses (Bingo) and R-Group deconvolution (Deco). It also can handle nucleotides (Nucleo).	
Intocham	http://fulcrum.physbio.mssm.edu/~mezei/intocham/	MM, MD		Free for academics		Intocham converts from InsightII .car format to Charmm, Amber or Moil formats.	
Isotopic Pattern Calculator	http://isotopatcalc.sourceforge.net/	MS		Open Source	GPL, C	Isotopic Pattern Calculator is a small tool for mass spectrometry. It calculates the isotopic distribution for a given chemical formula or peptide sequence. Furthermore, it can use Gnuplot to visualise the results.	
Jaguar	http://www.schrodinger.com/ProductDescription.php?mID=6&sID=9&cID=0	QM		Commercial		Jaguar is an ab initio electronic structure software package that provides chemical accuracy for realistic systems, with particular strength in treating metal-containing systems. Calculations are efficient and scale well with molecular size.	
Jana2000	http://www-xray.fzu.cz/jana/Jana2000/jana.html	Xtal		Freeware		Jana2000 is a system for solving and refinement of regular, modulated and composite structures from monocrystal and powder diffraction data.	
JChem	http://www.jchem.com	Cheminf		Commercial		JChem is a Java tool for developing applications that manipulate mixed chemical and corporate data. It supports most operating systems, database handlers, and web servers. JChem is an excellent tool for developing distributed custom chemical applications that can be accessed by web browsers.	
JChemPaint	http://jchempaint.sourceforge.net	Draw		Open Source	LGPL, Java	JChemPaint is a Java program for drawing 2D chemical structures. It can load and save in CML format, export as bitmap and SVG, and automatically layout structures.	
JMap3D	http://www.jcrystal.com/steffenweber/JAVA/JMAP3D/JMAP3D.html	Viewer		Freeware		JMap3d takes volumetric data (particularly electron density data) and polygonises them, in order to produce up to five iso-surfaces. The result is written to a VRML97 (VRML2.0) file, which can then be viewed with any VRML viewer of your choice or with the included Java3D VRML viewer (from the Java3D &amp; VRML working group).	
JME Molecular Editor	http://www.molinspiration.com/jme/index.html	Draw		Freeware		JME Molecular Editor is a Java applet which allows to draw / edit molecules and reactions (including generation of substructure queries) and to depict molecules directly within an HTML page. Editor can generate SMILES or MDL mol file of created structures.	
Jmol	http://www.jmol.org/	Viewer, QM		Open Source	LGPL, Java	Jmol is a Java-based molecule viewer that has been developed as a cross-platform replacement for the Chime plugin. Available as an applet for web pages or as a stand-alone application. It can read multiple file formats, create animations, show molecular vibrations, and supports the Chime scripting language.	
JMolEditor	http://sf.anu.edu.au/~vvv900/cct/appl/jmoleditor/index.html	Viewer, QM		Freeware		JMolEditor is a Java-based molecular viewer for quantum chemistry calculations, with support for Gaussian, GAMESS, ADF and Q-Chem calculations. Molecules can be built, and input files can be prepared and submitted. Calculation results, including isosurfaces from cube files, can be displayed.	
JOELib	http://www-ra.informatik.uni-tuebingen.de/software/joelib/index.html	Cheminf		Open Source	GPL, Java	JOELib is a Java library for cheminformatics. Among its many features, it can perform SMARTS substructure searches, calculate descriptors, and read and write molecular file formats including Chemical Markup Language.	
JSV	http://www.jcrystal.com/steffenweber/JAVA/JSV/jsv.html	Viewer, Xtal		Freeware		JSV (Java Structure Viewer) is a crystal structure viewer written in Java. It can also calculate X-ray diffraction intensities. The diffraction viewer module XRDL allows the 3D/2D display of the diffraction pattern. This software is 'Charityware'.	
Kalzium	http://edu.kde.org/kalzium/	Education	Periodic Table	Open Source	GPL, C++	Kalzium is an application which will show you some information about the periodic system of the elements. It is included in KDE 3.1. A balanced equation solver, eqchem, is also part of Kalzium.	
Kemistry	http://kemistry.sourceforge.net	Draw, Viewer	Utility	Open Source	GPL, C++	Kemistry is a collection of chemistry-related applications written for the KDE2. The Kemistry package provides three applications: KMolCalc - a molecular weight calculator; KDrawStruct - a 2D structures editor; KMolViewer - a 3D molecular renderer. All Kemistry applications are still in their early development stages.	Might be dead now
Khimera	http://www.kintech.ru/	QM, Rxn, Thermo		Commercial		Khimera is a software tool for the estimation of thermodynamic properties and kinetic rate parameters based on results of quantum-chemical calculations (supports GAMESS, Gaussian, Jaguar, ADF). Reactor models included in KHIMERA help to create and test the mechanism of chemical processes.	
Kintecus	http://www.kintecus.com/	Rxn		Free for academics		Kintecus is modeling software to simulate the chemical kinetics of combustion, nuclear, catalyst reactor, and enzyme reactions.	
KMovisto	http://mitglied.lycos.de/PageOfMH/index.html	Viewer		Open Source	GPL, C++	KMovisto is a molecular viewer. It can import GAUSSIAN 94 or 98 files, and XYZ files. 3D view modes (anaglyph or stereo pair) make it possible to enjoy stereoscopic impressions of the molecular structure. In addition, KMovisto can export export POV-Ray files for rendering high quality presentations, as well as VRML files for 3D presentations on the world wide web.	
KryoMol	http://galileo.usc.es/~armando/software/kryomol/	Viewer, QM, MM, MD, NMR		Open Source	GPL, C++	KryoMol is a KDE-based program for visualisation and analysis of several chemistry related file types such as quantum chemistry log files (Gaussian, NWChem, ACESII, GAMESS), molecular mechanics log files (Tinker, Macromodel), 1-D NMR spectra and JCAMP-DX spectra.	
LAMMPS	http://lammps.sandia.gov/	MD		Open Source	GPL, C++	LAMMPS (Large-scale Atomic/Molecular Massively Parallel Simulator) is a classical molecular dynamics (MD) code created for simulating molecular and atomic systems such as proteins in solution, liquid-crystals, polymers, zeolites, or simple Lennard-Jonesium.	
LaTeX Chemistry Packages	http://texcatalogue.sarovar.org/bytopic.html#chem		LaTeX	Freeware		Chemistry packages for using with the document typesetting system LaTeX. Includes packages for reactions, molecular formulae, R and S codes, chemistry journals, symmetry elements and even to draw chemical structures.	
LaueX	http://www.impmc.jussieu.fr/~soyer/laueX_en.html	Xtal		Freeware		LaueX is an interactive program with a GUI that can simulate a Laue diagram, when given the orientation of the crystal and the cell parameters. LaueX can also index a Laue diagram if the position of experimental spots are provided.	
Lennard-Jones Gas Simulation	http://www.ibiblio.org/pub/Linux/science/chemistry/!INDEX.html		Gas simulation	Open Source	GPL, C++	The Lennard-Jones Gas Simulator does a molecular simulation of noble gases.	Consider using the tucows site if the original site isn't so good
Linux for Chemistry	http://www.randomfactory.com/lfc/lfc.html		Software Collection	Commercial		The Linux for Chemistry project (LfC) is dedicated to compiling the most comprehensive collection of Chemistry software, and making it available for the Linux operating system. LfC provides point-and-click installation, a complete on-line library of searchable documentation, and much more.	Consider putting this as a link, rather than as a program
LSD Software	http://www.univ-reims.fr/Labos/UPRESA6013/GNOSIE/LSD	NMR	Utility	Open Source	GPL, C	The goal of LSD (Logic for Structure Determination) is to help the user propose one or more molecular structures from data that is mainly extracted from 2D NMR spectra.	
MacroModel	http://www.schrodinger.com/ProductDescription.php?mID=6&sID=8&cID=0	MM, MD		Commercial		MacroModel is a molecular modeling software package which allows the user to construct and graphically manipulate both simple and complex chemical structures, to apply molecular mechanics and dynamics techniques to evaluate the energies and geometries of molecules in vacuo or in solution, and to display and examine graphically the results of the modeling calculations.	
Maestro	http://www.schrodinger.com/ProductDescription.php?mID=6&sID=15&cID=0	Viewer		Free for academics		Maestro is the unified interface for all Schrodinger software. Impressive rendering capabilities, a powerful selection of analysis tools, and an easy-to-use design combine to make Maestro a versatile modeling environment for all researchers.	Python scripting
MAPS	http://www.scienomics.com/products/maps_platform.php	Viewer, QM, MD		Commercial		MAPS (Materials And Processes Simulations) is a platform for performing materials modeling and simulations. It provides a flexible framework for accessing both proprietary and open-source simulation codes in the areas of quantum, classical, mesoscale and chemical engineering. MAPS serves as an integration tool for all modeling related tasks and data and offers a multi-user/multi-project modeling environment complete with data management.	
Marvin	http://www.chemaxon.com/marvin/	Cheminf, Draw		Freeware		Marvin is a suite of Java based chemistry software that have different forms: 1. Marvin Applets are made for the Web Developer who builds chemistry-related World Wide Web sites; 2. Marvin Beans are made for the Software Developer who wants to incorporate molecule drawing or visualizing capabilities into his/her application; 3. MarvinSketch is an application for the Chemist or anyone else who wants to draw chemical structures.	
massXpert	http://www.massxpert.org/		Mass spectrometry	Open Source	GPL, C++	massXpert lets users analyse/predict mass spectrometric data on (bio)polymers. Notable features include ex nihilo polymer chemistry definitions, highly sophisticated editing of polymer sequences and chemical reaction simulations.	
MAUD	http://www.ing.unitn.it/~maud/	Xtal		Freeware		MAUD (Material Analysis Using Diffraction) is a general diffraction/reflectivity analysis program mainly based on the Rietveld method. It has a GUI, and a wide range of features including ab initio structure solution, various optimisation algorithms, Le Bail fitting and microstruture analysis.	
Maxwell	http://fulcrum.physbio.mssm.edu/~mezei/maxwell/	QM, Xtal		Free for academics		Maxwell consists of a suite of programs that implement the Maxwellian formalism for calculating the interaction energy between charge distributions as represented by the multipole expansion. It can also be applied to crystal lattices.	
MCCCS Towhee	http://towhee.sourceforge.net/	MD		Open Source	GPL, (C, Fortran)	MCCCS Towhee is a Monte Carlo molecular simulation code which can be used for the prediction of fluid phase equilibria using a wide variety of atom-based force fields and several ensembles (Gibbs, Canonical, Isobaric-isothermal and Grand Canonical). It has also been extended for use with solid (or porous) phases.	
McMaille	http://www.cristal.org/McMaille/McMaille-v3.html	Xtal		Open Source	GPL, Fortran	McMaille is a program for indexing powder diffraction patterns by Monte Carlo and grid search.	
MCPRO	http://www.cemcomco.com/BOSS_and_MCPRO_Distribution125.html	MD		Commercial		MCPRO performs Monte Carlo statistical mechanics simulations of peptides, proteins, and nucleic acids in solution; it was derived from BOSS, but makes extensive use of the concept of residues. Free energy changes can be computed via FEP calculations and have been used extensively for studying protein-ligand binding.	
MCTDH	http://www.pci.uni-heidelberg.de/tc/usr/mctdh/	QM		Freeware		MCTDH (Multi Configuration Time Dependent Hartree) is a general algorithm to solve the time-dependent Schrödinger equation for multidimensional dynamical systems consisting of distinguishable particles. MCTDH can thus determine the quantal motion of the nuclei of a molecular system evolving on one or several coupled electronic potential energy surfaces. MCTDH can also be used to propagate density operators and to determine eigenvalues and eigenstates of a molecular vibrational Hamiltonian.	
MDTools	http://www.ks.uiuc.edu/Development/MDTools/	MD		Freeware		MDTools is a collection of programs, scripts, and utilities to make various molecular dynamics tasks easier, and to provide basic code and utilities which can be built up into larger toolsets.	
Mercury	http://www.ccdc.cam.ac.uk/products/csd_system/mercury	Xtal, Viewer		Freeware		Mercury is a program for visualising crystal structures in three dimensions. Its features include:The ability to load hit lists from ConQuest searches, or to browse the entire Cambridge Structural Database, or to read in crystal structures in various formats. The ability to rotate and translate the 3D crystal-structure display, and to view down cell axes, reciprocal cell axes, and the normals to least-squares and Miller planes. The ability to measure and display distances, angles and torsion angles by atom picking and much more.	
MetaStudio	http://code.google.com/p/metastudio/	QM, Viewer		Open Source	GPL, Java	MeTA Studio is programmable IDE tailored for a computational chemist. It has support for BeanShell and Jython, and integrates Jmol.	
MEXICO	http://www.chemistry.mcmaster.ca/bain/exchange.html	NMR		Open Source	GPL, C	MEXICO simulates the NMR lineshapes of coupled spin systems undergoing chemical exchange. It will simulate systems and, if experimental data are available, it will perform an iterative fit to give optimized values of the parameters.	
MGLTools	http://mgltools.scripps.edu/	Dock, Viewer, Cheminf		Free for academics		MGLTools is a suite of software including PMV (Python Molecular Viewer), a molecule viewing and manipulation environment, ADT (AutoDockTools) for looking at AutoDock results, and pyBabel, a Python re-implementation of some of the features of Babel v1.6.	
Mindy	http://www.ks.uiuc.edu/Development/MDTools/mindy/	MD		Free for academics		Mindy is a very simple, serial molecular dynamics program derived from NAMD source code. It currently uses xplor parameter and structure files.	
MMC	http://fulcrum.physbio.mssm.edu/~mezei/mmc/	Thermo		Free for academics		MMC is a Metropolis Monte Carlo program for the simulation of molecular assemblies in the canonical, grand-canonical and isothermal-isobaric ensembles employing several convergence acceleration techniques (e.g., force-biased displacement, extension-biased and local torsion changes, preferential selection of solvent to be moved, cavity-biased insertion, virial-biased volume change).	
MMTK	http://dirac.cnrs-orleans.fr/MMTK/	MD		Open Source	CeCILL, Python	MMTK (the Molecular Modelling Toolkit) is a program library for molecular simulation applications. In addition to providing ready-to-use implementations of standard algorithms, MMTK serves as a code basis that can be easily extended and modified to deal with standard and non-standard problems in molecular simulations.	
Mnova Suite	http://mestrelab.com/software/	NMR		Commercial		Mnova Suite is a GUI with plugins for processing and reporting NMR data, predicting NMR data and processing MS data. Individual plugins are available separately.	
ModelFree	http://cpmcnet.columbia.edu/dept/gsas/biochem/labs/palmer/software/modelfree.html	NMR		Open Source	GPL, Fortran	ModelFree is a program for optimizing Lipari-Szabo model free parameters to heteronuclear NMR spin relaxation data.	
MOE	http://www.chemcomp.com/	Cheminf		Commercial		MOE (Molecular Operating Environment) can be used to manipulate and analyse large collections of compounds in a spreadsheet-like environment. It can be used to calculate descriptors, for building QSAR/QSPR models, for similarity searching and diverse subset selection, conformational searching and 3D pharmacophore searching. It has an embedded scripting language, SVL (Scientific Vector Language).	
Molaris	http://laetro.usc.edu/programs/		Enzyme reactions and properties	Commercial		Includes POLARIS and ENZYMIX in a unique package with an interface. Enzymix is a macromolecular simulation program designed to study the functions of proteins. Polaris is a fast converging computational software based on the Protein Dipoles - Langevin Dipoles (PDLD) approach.	
MOLCAS	http://www.teokem.lu.se/molcas/	QM		Commercial		MOLCAS allows an accurate ab initio treatment of very general electronic structure problems for molecular systems in both ground and excited states. MOLCAS contains a number of codes that can perform such calculations (MP2, CC, CPF, CCSD(T) etc.). It can also treat highly degenerate states using general and effective multiconfigurational SCF calculations at the CASSCF level, as well as RASSCF.	
MOLDA for Protein Modeling	http://www.molda.org/	Viewer, QM		Freeware		MOLDA is a molecular modeling program. 3D molecular structures in VRML and POV-Ray formats can be generated using the output from a variety of computational chemistry programs.	
Molden	http://www.cmbi.ru.nl/molden/molden.html	Viewer, QM		Free for academics		MOLDEN is a package for displaying molecules, electron density, and orbitals from ab initio and semi-empirical packages. It has a powerful Z-matrix editor.	
Moldy	http://www.ccp5.ac.uk/moldy/moldy.html	MD		Open Source	GPL, C	Moldy is a general-purpose molecular dynamics simulation program. It is sufficiently flexible that it ought to be useful for a wide range of simulation calculations of atomic, ionic and molecular systems.	
Molegro Molecular Viewer	http://www.molegro.com/products.php	Viewer		Freeware		Molegro Molecular Viewer is a free cross-platform application for visualization of molecules and analysis of protein-ligand interactions.	
Molegro Virtual Docker	http://www.molegro.com/products.php	Dock		Commercial		Molegro Virtual Docker is an integrated platform for predicting protein-ligand interactions. It handles all aspects of the docking process from preparation of the molecules to determination of the potential binding sites of the target protein, and prediction of the binding modes of the ligands.	
MOLEKEL	http://www.cscs.ch/molekel/	Viewer, QM		Freeware		MOLEKEL is an interactive, three-dimensional molecular graphics package. MOLEKEL represents molecules,it can superimpose molecules, calculates and displays isosurfaces of electron and spin densities as well as molecular orbitals from the output of various electronic structure calculation programs. MOLEKEL can animate and display vibrational modes, animate geometry optimizations and multiple coordinate PDB and XYZ files.	
Mollie	http://membres.lycos.fr/samlinux/proglin.htm		Database	Open Source	GPL, Perl	Mollie is a small web-oriented database for molecular information. It uses Perl for CGI, and PostgreSQL.	
MOLMOL	http://hugin.ethz.ch/wuthrich/software/molmol/	Viewer		Freeware		MOLMOL is a program for displaying, analyzing, and manipulating the three-dimensional structure of biological macromolecules, with special emphasis on the study of protein or DNA structures determined by NMR.	
Molpro	http://www.molpro.net/	QM		Commercial		Molpro is a system of ab initio programs for molecular electronic structure calculations. with an emphasis on highly accurate computations, with extensive treatment of the electron correlation problem through the multiconfiguration-reference CI, coupled cluster and associated methods. Using recently developed integral-direct local electron correlation methods, accurate ab initio calculations can be performed for much larger molecules than with most other programs.	
MolScript	http://www.avatar.se/molscript/	Viewer		Free for academics		MolScript is a program for displaying molecular 3D structures, such as proteins, in both schematic and detailed representations. It also produces output files that can be used in Raster3d.	Molscript is licensed through avatar.se, but this no longer exists. The freshmeat site was last updated in 2003, but has a copy of the software v2.1.1.
molsKetch	http://molsketch.sourceforge.net	Draw		Open Source	GPL, C++	molsKetch is a molecular drawing tool for 2D molecular structures. Its goal is to help you draw molecules quick and easily. As well as allowing the user to export high quality images in a number of vector and bitmap formats, it can read and write multiple chemical file formats (using the Open Babel library). molsKetch features intelligent addition/removal of hydrogen atoms and a built-in library that provides quick access to regularly used molecules and functional groups.	
MolSurfer	http://projects.villa-bosch.de/dbase/molsurfer/	Viewer	Enzyme	Freeware		MolSurfer is a graphical tool that links a 2D projection of a macromolecular interface to a 3D view of the macromolecular structure. MolSurfer can be used to study protein-protein and protein-DNA/RNA interfaces.	Structural Biology?
Mol_Volume	http://www.ks.uiuc.edu/Development/MDTools/molvolume/		Molecular volume	Free for academics		Mol_Volume calculates the volume of a macromolecule by a method somewhat akin to the Monte Carlo method, namely, by measuring how many vertices of a dense regular grid happen to be within the probe radius of the molecule's atoms.	
MOPAC 7	http://sourceforge.net/projects/mopac7/	QM		Open Source	Public Domain, Fortran	MOPAC is a general-purpose semi-empirical molecular orbital package for the study of chemical structures and reactions. The semi-empirical Hamiltonians MNDO, MINDO/3, AM1, and PM3 are used in the electronic part of the calculation to obtain molecular orbitals, the heat of formation and its derivative with resperivative with respect to molecular geometry.	
MOPAC 2007	http://www.mopac2007.com/	QM		Free for academics		MOPAC2007 is a general-purpose semiempirical quantum mechanics package for the study of chemical properties and reactions in gas, solution, or solid-state. MOPAC2007 can be used to directly predict numerous chemical and physical properties, such as Gibbs free energies, activation energies, reaction paths, dipole moments, non-linear optical properties, and infrared spectra. It is based on the public domain MOPAC 7.	
MOSCITO	http://ganter.chemie.uni-dortmund.de/MOSCITO/	MD		Open Source	GPL, Fortran	MOSCITO is designed for molecular dynamics simulations of condensed phase systems defined by classical molecular mechanics force-fields such as AMBER, OPLS, CHARMM and GROMOS.	
moviemol	http://www.ifm.liu.se/compchem/moviemol/moviemol.html	Viewer,MD		Free for academics		Moveiemol is a program for visualization and animation of molecular structures. Moviemol typically takes sets of molecular coordinates and displays each of these sets or frames one after the other to create a movie. The molecules/atoms/ions are displayed in ball-and-stick form. At any moment during the animation, the molecules can be rotated or translated, magnified or diminished. The program also produces very nice postscript images of publication quality.	
MPQC	http://www.mpqc.org/	QM		Open Source	LGPL, C++	MPQC is the Massively Parallel Quantum Chemistry Program. It computes properties of atoms and molecules from first principles using the time independent Schr&ouml;dinger equation. It runs on a wide range of architectures ranging from individual workstations to symmetric multiprocessors to massively parallel computers. Its design is object oriented, using the C++ programming language.	
MSMS	http://www.scripps.edu/pub/olson-web/people/sanner/html/msms_home.html		Molecular surface	Freeware		MSMS stands for Michel Sanner's Molecular Surface, or Maximal Speed Molecular Surface. It allows the user to compute very efficiently triangulations of solvent excluded surfaces.	Comment on MSV
MULTIMODE	http://www.emory.edu/CHEMISTRY/faculty/bowman/multimode/	QM		Commercial		MULTIMODE performs Vibrational Self Consistent Field (VSCF) and several types of &quot;CI&quot; calculations for the rovibrational energies and wavefunctions of polyatomic molecules, transition states, clusters, etc. The code is based on the Watson Hamiltonian for non-linear molecules.	
Music	http://zeolites.cqe.northwestern.edu/Music/music.html	MD		Open Source	GPL, Fortran	Music (Multi-purpose SImulation Code) is an object-oriented package intended to perform various types of Molecular Dynamics and Monte Carlo simulations with user-specified forcefields. It can be used to simulate diffusion and adsoprtion in zeolites, for liquid and gas simulations as well, and may be easily extended for solid simulations.	
NAB	http://www.scripps.edu/mb/case/casegr-sh-3.2.html#sh-3.2	MD, MM		Open Source	GPL, C	NAB (Nucleic Acid Builder) is a computer language (specified through lex and yacc) that allows nucleic acid structures to be described in a hierarchical fashion, using a language similar to C or awk, but designed especially for the manipulation of nucleic acid structures.	
Naccess	http://wolf.bms.umist.ac.uk/naccess/		Solvent accessibility	Free for academics		Naccess is a stand alone program that calculates the accessible area of a molecule from a PDB (Protein Data Bank) format file. It can calculate the atomic and residue accessiblities for both proteins and nucleic acids.	
NAMD	http://www.ks.uiuc.edu/Research/namd/	MD		Free for academics		NAMD is a parallel, object-oriented molecular dynamics code designed for high-performance simulation of large biomolecular systems.	
NAMOT	http://namot.lanl.gov/	Viewer		Freeware		NAMOT (Nucleic Acid MOdeling Tool) is a graphic tool to build and manipulate nucleic acid structures.	Not open source, but it's on sourceforge - should I tell them?
nMOLDYN	http://dirac.cnrs-orleans.fr/nMOLDYN/	MD		Open Source	CeCILL, Python	nMOLDYN is an interactive analysis program for Molecular Dynamics simulations. It is especially designed for the computation and decomposition of neutron scattering spectra, but also computes other quantities.	
NMRPipe	http://spin.niddk.nih.gov/bax/software/NMRPipe/	NMR		Freeware		The NMRPipe software package consists of a series of standalone programs such as NMRPipe (spectrometer data conversion, advanced multidimensional data processing), NMRDraw (graphical interface for most package tools, interactive processing, script editing interface, time domain data inspection, real-time phasing, automated peak detection, spectral analysis), NMRWish (custom version of Tcl/Tk for spectral analysis, spectral database engine, communication between applications), DC (dipolar coupling and chemical shift analysis) and a multitude of spectral analysis tools.	
NMR-SHARC	http://www.chemie.uni-erlangen.de/ccc/sharc/	NMR, QM, Cheminf		Freeware		NMR-SHARC is a cooperative, platform-independent, program-independent archving system for ab initio NMR chemical shift calculations.	
NMRShiftDB server	http://www.nmrshiftdb.org	NMR, Cheminf		Open Source	GPL, Java	The NMRShiftDB server is open source software which can be used to maintain a local repository of the results of NMR experiments. This software was developed for the NMRShiftDB database, an open-source, open-access, open-submission, open-content web database for chemical structures and their associated nuclear magnetic resonance data.	
NMRViewJ	http://www.onemoonscientific.com/nmrview/index.html	NMR		Freeware		NMRViewJ is a program for the visualization and analysis of NMR datasets. Some of its features are: unlimited number of spectral windows and data files; contour and 1D vector plots of any plane of any 2, 3, or 4 dimensional spectra; automatic peak picking, searching, facilitated analysis and interactive peak editing; powerful command language and programmable user interface; NOE constraint generation and analysis.	
NWChem	http://www.nwchem-sw.org	QM		Open Source	ECL, (Fortran, C, C++)	NWChem is a computational chemistry package designed to run on high-performance parallel supercomputers as well as conventional workstation clusters. It aims to be scalable both in its ability to treat large problems efficiently, and in its usage of available parallel computing resources.	
O	http://xray.bmc.uu.se/alwyn/	Viewer, Xtal		Freeware		O is a general purpose macromolecular modelling environment. The program is aimed at scientists with a need to model, build and display macromolecules, particularly in the context of crystallography..	Only protein crystallography?
Olex2	http://olex2.opencryst.net/	Viewer, Xtal		Freeware		Olex2 is an easy-to-use program for small-molecule structure solution and refinement. It also includes many useful tools for structure analysis, archiving and report generation. All aspects of the structure determination and publication process are presented in a single, workflow-driven package - with the ultimate goal of producing an application which will be useful to both chemists and crystallographers.	
Open Babel	http://openbabel.sourceforge.net/	Cheminf		Open Source	GPL, (C++, Perl, Python, Java, Ruby)	Open Babel is a chemical toolbox designed to speak the many languages of chemical data. It's an open, collaborative project allowing anyone to search, convert, analyze, or store data from molecular modeling, chemistry, solid-state materials, biochemistry, or related areas. It provides a command-line interface (babel), a programming library (libopenbabel), as well as bindings to several languages such as Python, Perl, Ruby and Java.	
